ORTHOMCL	NCRA	CTHT	Pfam	CAZY	MEROPS
ORTHO_01647	1	1			
ORTHO_01648	1	1			
ORTHO_01649	1	1			
ORTHO_01650	1	1	AAA (4); CDC48_2 (2); AAA_2 (2)		
ORTHO_01651	1	1	WD40 (4)		
ORTHO_01652	1	1	bZIP_2 (2); bZIP_Maf (1); bZIP_1 (1)		
ORTHO_01653	1	1	DnaJ (2)		
ORTHO_01654	1	1	DUF4188 (2)		
ORTHO_01655	1	1	Erg28 (2)		
ORTHO_01656	1	1	Pro_isomerase (2); WD40 (2)		
ORTHO_01657	1	1	Zn_clus (2); Fungal_trans (2)		
ORTHO_01658	1	1			
ORTHO_01659	1	1	Aminotran_5 (2); Aminotran_1_2 (2); DegT_DnrJ_EryC1 (2); Cys_Met_Meta_PP (2); Beta_elim_lyase (1)		
ORTHO_01660	1	1	LTV (2)		
ORTHO_01661	1	1	MoaE (2)		
ORTHO_01662	1	1	RNase_PH (2)		
ORTHO_01663	1	1	HAT (4); TPR_14 (2); TPR_19 (2); Suf (1)		
ORTHO_01664	1	1	Atg8 (2); APG12 (2)		
ORTHO_01665	1	1			
ORTHO_01666	1	1	HEAT (4); IBN_N (2); HEAT_EZ (2); HEAT_2 (1)		
ORTHO_01667	1	1	Amidohydro_2 (2)		
ORTHO_01668	1	1	MIF4G_like (2); MIF4G_like_2 (2)		
ORTHO_01669	1	1	UQ_con (2); Prok-E2_B (1)		
ORTHO_01670	1	1	Mannosyl_trans (2); PIG-U (2)	GT50.hmm (2)	
ORTHO_01671	1	1	Glyco_hydro_cc (2)	GH128.hmm (2)	
ORTHO_01672	1	1	Spermine_synth (2); Spermine_synt_N (2)		
ORTHO_01673	1	1	HgmA (2)		
ORTHO_01674	1	1			
ORTHO_01675	1	1	Allantoicase (4)		
ORTHO_01676	1	1	Abhydrolase_1 (2); Hydrolase_4 (1)		MER214074 (2); MER199690 (2); MER059846 (2)
ORTHO_01677	1	1	Ubiquitin_2 (2); CAP_GLY (2)		
ORTHO_01678	1	1	Ribosomal_S5_C (2); Ribosomal_S5 (2)		
ORTHO_01679	1	1	Whi5 (2)		
ORTHO_01680	1	1	COQ9 (2)		
ORTHO_01681	1	1	Rhomboid (2)		MER015472 (2)
ORTHO_01682	1	1	AhpC-TSA_2 (2)		
ORTHO_01683	1	1			
ORTHO_01684	1	1	Lum_binding (4)		
ORTHO_01685	1	1	Cu_amine_oxidN3 (2); Cu_amine_oxidN2 (2); Cu_amine_oxid (2)		
ORTHO_01686	1	1	Kinesin (2); Microtub_bd (2)		
ORTHO_01687	1	1	Dus (2)		
ORTHO_01688	1	1	EMP24_GP25L (2)		
ORTHO_01689	1	1	IQ (4); DIL (2); Myosin_N (2); Myosin_head (2)		
ORTHO_01690	1	1	AA_permease (2); AA_permease_2 (2)		
ORTHO_01691	1	1			
ORTHO_01692	1	1	UCR_14kD (2)		
ORTHO_01693	1	1	DUF1977 (2); DnaJ (2)		
ORTHO_01694	1	1	PBP (2)		
ORTHO_01695	1	1	Pet191_N (2)		
ORTHO_01696	1	1	Brix (2)		
ORTHO_01697	1	1	Sen15 (2)		
ORTHO_01698	1	1	Snf7 (2)		
ORTHO_01699	1	1			
ORTHO_01700	1	1	PCI (2)		
ORTHO_01701	1	1	DUF572 (2)		
ORTHO_01702	1	1	Vps54 (2); Vps54_N (1)		
ORTHO_01703	1	1	DUF2012 (2)		
ORTHO_01704	1	1	Ligase_CoA (2); CoA_binding (2); Succ_CoA_lig (2)		
ORTHO_01705	1	1	Amidohydro_3 (2)		
ORTHO_01706	1	1	CENP-I (2)		
ORTHO_01707	1	1	Cpn60_TCP1 (2)		
ORTHO_01708	1	1	PPR_3 (4); PPR (2); PPR_2 (1); PPR_1 (1)		
ORTHO_01709	1	1			
ORTHO_01710	1	1	DASH_Dad2 (2)		
ORTHO_01711	1	1	Methyltransf_11 (2); Methyltransf_25 (2); WBS_methylT (2); PCMT (1)		
ORTHO_01712	1	1			
ORTHO_01713	1	1			
ORTHO_01714	1	1	SHR3_chaperone (2)		
ORTHO_01715	1	1	Glyco_hydro_10 (2)	GH10.hmm (2)	
ORTHO_01716	1	1	Rhodanese (1)		
ORTHO_01717	1	1			
ORTHO_01718	1	1	SUN (2)	GH132.hmm (2)	
ORTHO_01719	1	1	zf-C2H2 (3)		
ORTHO_01720	1	1	DUF3636 (3)		
ORTHO_01721	1	1			
ORTHO_01722	1	1	G-patch (2); TIP_N (2); GCFC (2); G-patch_2 (2)		
ORTHO_01723	1	1	JAB (2); MitMem_reg (2); Prok-JAB (2)		MER003198 (2); MER021993 (2); MER029970 (2); MER022061 (2); MER029807 (2); MER022069 (2); MER022060 (2); MER022005 (2); MER122119 (2); MER021886 (1)
ORTHO_01724	1	1	TPR_3 (2); SHNi-TPR (2)		
ORTHO_01725	1	1	Ribosomal_L33 (2)		
ORTHO_01726	1	1	PMI_typeI (2)		
ORTHO_01727	1	1			
ORTHO_01728	1	1	EF-hand_5 (8); EF-hand_1 (8); EF-hand_8 (6); EF-hand_7 (4); EF-hand_6 (4); EF-hand_9 (2); EFhand_Ca_insen (2)		
ORTHO_01729	1	1	DUF4050 (2)		
ORTHO_01730	1	1	zf-DBF (2); Dfp1_Him1_M (2)		
ORTHO_01731	1	1	Glycos_transf_1 (2); Glyco_trans_1_4 (2)	GT4.hmm (2)	
ORTHO_01732	1	1	CHCH (2)		
ORTHO_01733	1	1			
ORTHO_01734	1	1	MFS_1 (3)		
ORTHO_01735	1	1	Mito_carr (6); PIG-F (1)		
ORTHO_01736	1	1	Sterol-sensing (2); Patched (2)		
ORTHO_01737	1	1	FGE-sulfatase (3); Methyltransf_33 (3); DinB_2 (1)		
ORTHO_01738	1	1	MFS_1 (2); Sugar_tr (1)		
ORTHO_01739	1	1	PAP2_3 (4)		
ORTHO_01740	1	1	Pkinase_Tyr (2); Pkinase (2)		
ORTHO_01741	1	1	SRA1 (2); Sec16_C (2); WD40 (1)		
ORTHO_01742	1	1	Epimerase (2); RmlD_sub_bind (2)		
ORTHO_01743	1	1	DUF3295 (1)		
ORTHO_01744	1	1			
ORTHO_01745	1	1	Nucleoporin_FG (6); Nucleoporin2 (2); Nup96 (2)		MER020215 (2); MER020203 (2); MER139248 (2); MER020208 (2); MER020206 (2); MER020219 (2); MER020209 (2); MER020218 (2); MER020214 (2); MER020207 (2)
ORTHO_01746	1	1	APG17 (2)		
ORTHO_01747	1	1	NAD_Gly3P_dh_N (2); NAD_Gly3P_dh_C (2)		
ORTHO_01748	1	1	N2227 (2)		
ORTHO_01749	1	1	UvdE (2)		
ORTHO_01750	1	1	EPL1 (2)		
ORTHO_01751	1	1	Pex19 (2)		
ORTHO_01752	1	1	Rbsn (2); FYVE (2)		
ORTHO_01753	1	1	DUF4604 (2)		
ORTHO_01754	1	1	Cupin_2 (1)		
ORTHO_01755	1	1	Rep_fac-A_3 (2)		
ORTHO_01756	1	1	Hexokinase_1 (2); Hexokinase_2 (2)		
ORTHO_01757	1	1			
ORTHO_01758	1	1	PAPS_reduct (2)		
ORTHO_01759	1	1	Adenylsucc_synt (2)		
ORTHO_01760	1	1	Glyco_hydro_61 (2)	AA9.hmm (2)	
ORTHO_01761	1	1	Phos_pyr_kin (2); PfkB (1)		
ORTHO_01762	1	1	MMtag (2)		
ORTHO_01763	1	1	SAC3_GANP (2)		
ORTHO_01764	1	1			
ORTHO_01765	1	1	Bystin (2)		
ORTHO_01766	1	1	DUF1604 (2); G-patch (2)		
ORTHO_01767	1	1	Vps62 (2); TFIIIC_sub6 (1)		
ORTHO_01768	1	1	PAS_9 (2)		
ORTHO_01769	1	1	Pkinase (2); Pkinase_Tyr (2)		
ORTHO_01770	1	1	Pkinase (2); Pkinase_Tyr (2)		
ORTHO_01771	1	1			
ORTHO_01772	1	1	Peptidase_M20 (2); M20_dimer (2)		MER021873 (2); MER014418 (2); MER005155 (1); MER002007 (1); MER003581 (1); MER002664 (1); MER015354 (1)
ORTHO_01773	1	1			
ORTHO_01774	1	1	MFS_1 (2)		
ORTHO_01775	1	1			
ORTHO_01776	1	1	AAA_22 (2); AAA_16 (2); AAA (2); BAH (1)		
ORTHO_01777	1	1	MRP-L28 (2)		
ORTHO_01778	1	1	BAR (2)		
ORTHO_01779	1	1	Prefoldin (2)		
ORTHO_01780	1	1			
ORTHO_01781	1	1	WW (6); HECT (2); C2 (2)		
ORTHO_01782	1	1	FAD_binding_2 (2); FAD_oxidored (2); Pyr_redox_dim (2); Pyr_redox (2); GIDA (2); Pyr_redox_2 (2); NAD_binding_8 (2)		
ORTHO_01783	1	1	AAA (2); DNA_pol3_delta2 (2)		
ORTHO_01784	1	1	RIO1 (2)		
ORTHO_01785	1	1	RRM_1 (6)		
ORTHO_01786	1	1			
ORTHO_01787	1	1	Pkinase (2); Pkinase_Tyr (2)		
ORTHO_01788	1	1	F-box-like (1); F-box (1)		
ORTHO_01789	1	1			
ORTHO_01790	1	1	Shugoshin_C (2); Shugoshin_N (2)		
ORTHO_01791	1	1	FAD_binding_6 (1)		
ORTHO_01792	1	1			
ORTHO_01793	1	1	RasGEF_N (2); RasGEF (2)		
ORTHO_01794	1	1	CH (8)		
ORTHO_01795	1	1			
ORTHO_01796	1	1			
ORTHO_01797	1	1			
ORTHO_01798	1	1	NGP1NT (2); MMR_HSR1 (2); FeoB_N (2)		
ORTHO_01799	1	1	GCV_T (2); GCV_T_C (2)		
ORTHO_01800	1	1	Zn_clus (2); Fungal_trans_2 (1)		
ORTHO_01801	1	1	GFA (2)		
ORTHO_01802	1	1	UCH_1 (2); UCH (2)		MER014736 (2); MER000866 (2); MER014123 (2); MER005436 (2); MER004439 (2); MER029792 (2); MER004834 (2); MER005456 (2); MER014739 (2); MER014770 (1); MER036275 (1)
ORTHO_01803	1	1	PQ-loop (4)		
ORTHO_01804	1	1	Epimerase (2); NmrA (2); NAD_binding_10 (2)		
ORTHO_01805	1	1	RPN7 (2); PCI (2)		
ORTHO_01806	1	1	Ribosomal_L9_N (2)		
ORTHO_01807	1	1			
ORTHO_01808	1	1	NAD_binding_2 (2); F420_oxidored (2); Shikimate_DH (1); ATP_synt_H (1); NAD_binding_11 (1)		
ORTHO_01809	1	1	Vps16_C (3); Vps16_N (2)		
ORTHO_01810	1	1	DUF543 (2)		
ORTHO_01811	1	1	Lipase_GDSL_2 (2); Lipase_GDSL (2)	CE3.hmm (2)	
ORTHO_01812	1	1	MFS_1 (2); Sugar_tr (2)		
ORTHO_01813	1	1	Sacchrp_dh_C (2); Sacchrp_dh_NADP (2); Shikimate_DH (1)		
ORTHO_01814	1	1	Glycos_transf_4 (2)		
ORTHO_01815	1	1	Fer2 (2)		
ORTHO_01816	1	1			
ORTHO_01817	1	1			
ORTHO_01818	1	1	OHCU_decarbox (2)		
ORTHO_01819	1	1	YqeY (2)		
ORTHO_01820	1	1	WD40 (12)		
ORTHO_01821	1	1	Methyltransf_11 (1)		
ORTHO_01822	1	1	RRN3 (2)		
ORTHO_01823	1	1	PRCC (2)		
ORTHO_01824	1	1	DUF4187 (2); G-patch (1)		
ORTHO_01825	1	1	DUF1295 (2)		
ORTHO_01826	1	1	Adap_comp_sub (2)		
ORTHO_01827	1	1			
ORTHO_01828	1	1	Topoisom_bac (2); Toprim (2)		
ORTHO_01829	1	1	CorA (1)		
ORTHO_01830	1	1	Dioxygenase_C (2); Dioxygenase_N (2)		
ORTHO_01831	1	1	RecA (2); ATPase (2); Rad51 (2)		
ORTHO_01832	1	1	APS_kinase (2); ATP-sulfurylase (2); PUA_2 (2)		
ORTHO_01833	1	1	DEAD (2); Helicase_C (2)		
ORTHO_01834	1	1	Paf1 (2)		
ORTHO_01835	1	1			
ORTHO_01836	1	1	ABC_tran (4); ABC_membrane (4); Dynamin_N (1)		
ORTHO_01837	1	1			
ORTHO_01838	1	1	RMI1_N (2)		
ORTHO_01839	1	1	ABC_tran (2); ABC2_membrane (2)		
ORTHO_01840	1	1	polyprenyl_synt (2)		
ORTHO_01841	1	1			
ORTHO_01842	1	1	Glyoxalase (4); Glyoxalase_4 (2)		
ORTHO_01843	1	1			
ORTHO_01844	1	1			
ORTHO_01845	1	1	Nup84_Nup100 (2)		
ORTHO_01846	1	1	DUF3818 (4); PXB (2)		
ORTHO_01847	1	1		AA11.hmm (2)	
ORTHO_01848	1	1	Pyridoxal_deC (2)		
ORTHO_01849	1	1	SecY (2); Plug_translocon (2)		
ORTHO_01850	1	1			
ORTHO_01851	1	1	DUF167 (2)		
ORTHO_01852	1	1	Anp1 (2)	GT62.hmm (2)	
ORTHO_01853	1	1	RPEL (1); F-box (1)		
ORTHO_01854	1	1	S36_mt (2); Cyto_heme_lyase (1)		
ORTHO_01855	1	1	Telomerase_RBD (2); RVT_1 (2)		
ORTHO_01856	1	1	RCR (2)		
ORTHO_01857	1	1	LeuA_dimer (2); HMGL-like (2)		
ORTHO_01858	1	1			
ORTHO_01859	1	1	Lipase_3 (2)		
ORTHO_01860	1	1	Lactamase_B (2)		
ORTHO_01861	1	1	LIM (4)		
ORTHO_01862	1	1	WD40 (6); DUF3337 (2)		
ORTHO_01863	1	1	MitMem_reg (2); JAB (2)		MER030132 (2); MER030134 (2); MER030133 (2)
ORTHO_01864	1	1	NOP5NT (2); Nop (2)		
ORTHO_01865	1	1	SNF2_N (2); Helicase_C (2); ResIII (2)		
ORTHO_01866	1	1	Yip1 (2)		
ORTHO_01867	1	1	MFS_1 (2); Sugar_tr (1)		
ORTHO_01868	1	1	Spc97_Spc98 (2)		
ORTHO_01869	1	1	IMPDH (2); NMO (2); FMN_dh (2)		
ORTHO_01870	1	1			
ORTHO_01871	1	1	UcrQ (2)		
ORTHO_01872	1	1	NMO (3); FMN_dh (2); IMPDH (1)		
ORTHO_01873	1	1	Acyl-CoA_dh_2 (2); Acyl-CoA_dh_1 (2); Cyt-b5 (2); Acyl-CoA_dh_M (2); Acyl-CoA_dh_N (2)		
ORTHO_01874	1	1	ERG4_ERG24 (2); DUF1295 (1); LSM (1)		
ORTHO_01875	1	1	Sec8_exocyst (2); Vps54_N (2)		
ORTHO_01876	1	1	CBFD_NFYB_HMF (2)		
ORTHO_01877	1	1			
ORTHO_01878	1	1	Peptidase_S24 (2)		MER011513 (2); MER006070 (2); MER000598 (2); MER015611 (1)
ORTHO_01879	1	1			
ORTHO_01880	1	1	Ras (2); Arf (2); Roc (2)		
ORTHO_01881	1	1	Mpv17_PMP22 (2)		
ORTHO_01882	1	1	KR (2); Polysacc_synt_2 (2); NAD_binding_4 (2); adh_short (2); RmlD_sub_bind (2); Epimerase (2); GDP_Man_Dehyd (2); 3Beta_HSD (2)		
ORTHO_01883	1	1	HMA (8); Hydrolase (2); E1-E2_ATPase (2); NPR2 (1); Hydrolase_3 (1)		
ORTHO_01884	1	1	C2 (4)		
ORTHO_01885	1	1	Proteasome (2); Proteasome_A_N (2)		MER016363 (2); MER000558 (2); MER004996 (2); MER000554 (2); MER033250 (2); MER047329 (2); MER000549 (2); MER004372 (2); MER000550 (2); MER026222 (1); MER000553 (1)
ORTHO_01886	1	1			
ORTHO_01887	1	1			
ORTHO_01888	1	1	WD40 (8); HIRA_B (2); Hira (2)		
ORTHO_01889	1	1	PMSR (2)		
ORTHO_01890	1	1	RNase_P_Rpp14 (2)		
ORTHO_01891	1	1	Transketolase_C (2); Transket_pyr (2)		
ORTHO_01892	1	1	WD40 (2)		
ORTHO_01893	1	1	Ribosomal_L37 (2)		
ORTHO_01894	1	1	AAA (2)		
ORTHO_01895	1	1	RNA_pol_Rpb1_4 (2); RNA_pol_Rpb1_1 (2); RNA_pol_Rpb1_2 (2); RNA_pol_Rpb1_5 (2); RNA_pol_Rpb1_3 (2)		
ORTHO_01896	1	1	tRNA_anti-codon (2); tRNA-synt_2 (2)		
ORTHO_01897	1	1			
ORTHO_01898	1	1			
ORTHO_01899	1	1	zf-C2H2 (4); zf-C2H2_4 (2); zf-C2H2_6 (2); zf-met (2)		
ORTHO_01900	1	1			
ORTHO_01901	1	1			
ORTHO_01902	1	1	M20_dimer (2); Peptidase_M20 (2)		MER033183 (2); MER001269 (2)
ORTHO_01903	1	1	Sas10_Utp3 (2); Sas10 (2)		
ORTHO_01904	1	1	SUR7 (2)		
ORTHO_01905	1	1	A_deaminase (2)		
ORTHO_01906	1	1	Glyco_hydro_6 (2); CBM_1 (2)	GH6.hmm (2); CBM1.hmm (2)	
ORTHO_01907	1	1	Adaptin_binding (2)		
ORTHO_01908	1	1	GFA (2)		
ORTHO_01909	1	1	Sec23_BS (2); Gelsolin (2); Sec23_trunk (2); Sec23_helical (2); zf-Sec23_Sec24 (2)		
ORTHO_01910	1	1			
ORTHO_01911	1	1	NMO (2); IMPDH (1)		
ORTHO_01912	1	1	zf-C2H2 (4); Fungal_trans (2)		
ORTHO_01913	1	1	LANC_like (2)		
ORTHO_01914	1	1	Glyco_transf_36 (2); Glyco_hydro_36 (2)	GH94.hmm (2)	
ORTHO_01915	1	1			
ORTHO_01916	1	1	Roc (2); Arf (2); Ras (2)		
ORTHO_01917	1	1	tRNA-synt_1 (4); tRNA-synt_1g (2)		
ORTHO_01918	1	1	AMP-binding (2); AMP-binding_C (2)		
ORTHO_01919	1	1	Sdh_cyt (2)		
ORTHO_01920	1	1	Fungal_trans (2); Zn_clus (1)		
ORTHO_01921	1	1	DNA_pol_B (2); zf-DNA_Pol (2); DNA_pol_alpha_N (2); DNA_pol_B_exo1 (2)		
ORTHO_01922	1	1	NUDIX (2); DUF4743 (2)		
ORTHO_01923	1	1	zf-RING_2 (2); zf-ANAPC11 (2)		
ORTHO_01924	1	1	La (2)		
ORTHO_01925	1	1	ATP-grasp_5 (2); Ligase_CoA (2); ATP-grasp_2 (2)		
ORTHO_01926	1	1	Methyltransf_23 (2); DUF3419 (2); Methyltransf_25 (1); Methyltransf_31 (1); Methyltransf_11 (1)		
ORTHO_01927	1	1	Mito_carr (6)		
ORTHO_01928	1	1	Peptidase_M3 (2)		MER001161 (2); MER001942 (2); MER001149 (2); MER015170 (2); MER015169 (2); MER079465 (2); MER108144 (2); MER001153 (2); MER003110 (2); MER001158 (1); MER006087 (1)
ORTHO_01929	1	1	Ribosomal_L7Ae (2)		
ORTHO_01930	1	1	EST1_DNA_bind (2)		
ORTHO_01931	1	1	R3H (2); G-patch (2)		
ORTHO_01932	1	1			
ORTHO_01933	1	1	E1_dh (2)		
ORTHO_01934	1	1	Zn_clus (1)		
ORTHO_01935	1	1	Surp (2)		
ORTHO_01936	1	1	Cpn60_TCP1 (2)		
ORTHO_01937	1	1	PTPA (2)		
ORTHO_01938	1	1	DUF2264 (2)		
ORTHO_01939	1	1	Lactamase_B (2)		
ORTHO_01940	1	1	His_Phos_1 (2)		
ORTHO_01941	1	1			
ORTHO_01942	1	1	PfkB (2)		
ORTHO_01943	1	1	GST_N_3 (2); GST_N_2 (1); GST_C_2 (1)		
ORTHO_01944	1	1			
ORTHO_01945	1	1	Aa_trans (2)		
ORTHO_01946	1	1	Ank_5 (1)		
ORTHO_01947	1	1	Sel1 (21)		
ORTHO_01948	1	1	KR (2); adh_short_C2 (2); adh_short (2)		
ORTHO_01949	1	1	PhyH (2)		
ORTHO_01950	1	1	GMC_oxred_C (2); GMC_oxred_N (2); FAD_binding_2 (1)	AA3.hmm (2)	
ORTHO_01951	1	1			
ORTHO_01952	1	1	Aa_trans (2)		
ORTHO_01953	1	1	TPR_16 (1); TPR_8 (1)		
ORTHO_01954	1	1	Prenyltransf (2); ING (1)		
ORTHO_01955	1	1			
ORTHO_01956	1	1	SWIB (2); DEK_C (1)		
ORTHO_01957	1	1	Myb_DNA-binding (2)		
ORTHO_01958	1	1			
ORTHO_01959	1	1	Methyltransf_31 (2); Methyltransf_12 (2); Methyltransf_25 (2); Methyltransf_23 (2); Methyltransf_11 (2); PrmA (1)		
ORTHO_01960	1	1	tRNA-synt_1 (2); tRNA-synt_1_2 (2); Anticodon_1 (2); tRNA-synt_1g (1)		
ORTHO_01961	1	1			
ORTHO_01962	1	1	FSH1 (2)		
ORTHO_01963	1	1	PET117 (2)		
ORTHO_01964	1	1	Roc (2); Ras (2); Arf (2); SRPRB (1); Gtr1_RagA (1); MMR_HSR1 (1)		
ORTHO_01965	1	1	Mannitol_dh (2); Mannitol_dh_C (2)		
ORTHO_01966	1	1	cobW (2)		
ORTHO_01967	1	1	Apq12 (2)		
ORTHO_01968	1	1	tRNA-synt_1 (7); tRNA-synt_1g (2); tRNA-synt_1_2 (2); Anticodon_1 (2)		
ORTHO_01969	1	1	Aquarius_N (2); AAA_12 (2); ResIII (2); AAA_11 (2)		
ORTHO_01970	1	1	EVE (2)		
ORTHO_01971	1	1	Helicase_C (2); OB_NTP_bind (2); HA2 (2); AAA_22 (1); DEAD (1)		
ORTHO_01972	1	1	Phosphodiest (3)		
ORTHO_01973	1	1			
ORTHO_01974	1	1	SOR_SNZ (2)		
ORTHO_01975	1	1	Peroxin-13_N (2); SH3_1 (2); SH3_2 (2)		
ORTHO_01976	1	1			
ORTHO_01977	1	1	Eaf7 (2)		
ORTHO_01978	1	1	cobW (2)		
ORTHO_01979	1	1	SecE (2)		
ORTHO_01980	1	1	5_nucleotid_C (2); Metallophos (2)		
ORTHO_01981	1	1	Choline_transpo (2)		
ORTHO_01982	1	1	TFIID-18kDa (2)		
ORTHO_01983	1	1	Acetyltransf_3 (2)		
ORTHO_01984	1	1	Polysacc_deac_1 (2)	CE4.hmm (2)	
ORTHO_01985	1	1	Mis12 (2)		
ORTHO_01986	1	1	STAG (2)		
ORTHO_01987	1	1	RRM_1 (2)		
ORTHO_01988	1	1			
ORTHO_01989	1	1	Adap_comp_sub (2); Bestrophin (1)		
ORTHO_01990	1	1	Bap31 (2)		
ORTHO_01991	1	1	Acyl-CoA_dh_1 (2); Acyl-CoA_dh_N (2); Cyt-b5 (2); Acyl-CoA_dh_M (2); Acyl-CoA_dh_2 (1)		
ORTHO_01992	1	1	Metalloenzyme (2); iPGM_N (2)		
ORTHO_01993	1	1	Aldo_ket_red (2)		
ORTHO_01994	1	1	ACT (2); Formyl_trans_N (2)		
ORTHO_01995	1	1	Clr2_transil (2); Clr2 (2)		
ORTHO_01996	1	1	Helicase_C (2); SNF2_N (2)		
ORTHO_01997	1	1	NRDE-2 (2)		
ORTHO_01998	1	1			
ORTHO_01999	1	1	B3_4 (2); B5 (2)		
ORTHO_02000	1	1	Microtub_bd (2); Kinesin (2)		
ORTHO_02001	1	1	Rep-A_N (2); Rep_fac-A_C (2); REPA_OB_2 (2); tRNA_anti-codon (2)		
ORTHO_02002	1	1	Nuc_sug_transp (2); UAA (1)		
ORTHO_02003	1	1	Exo5 (2)		
ORTHO_02004	1	1	OCD_Mu_crystall (1)		
ORTHO_02005	1	1	WW (1)		
ORTHO_02006	1	1	RhoGAP (2)		
ORTHO_02007	1	1	EF-hand_4 (4); UBA (1)		
ORTHO_02008	1	1	An_peroxidase (4)		
ORTHO_02009	1	1	Aminotran_1_2 (2)		
ORTHO_02010	1	1	Spindle_Spc25 (2)		
ORTHO_02011	1	1	KR (2); adh_short_C2 (2); adh_short (2)		
ORTHO_02012	1	1	KR (2); adh_short_C2 (2); adh_short (2); Epimerase (1)		
ORTHO_02013	1	1	Thioredox_DsbH (2)	GH9.hmm (1)	
ORTHO_02014	1	1	Prenylcys_lyase (2); VID27 (2); NAD_binding_8 (1); Amino_oxidase (1)		
ORTHO_02015	1	1			
ORTHO_02016	1	1	UbiA (2)		
ORTHO_02017	1	1	PAS_9 (4); PAS_3 (2)		
ORTHO_02018	1	1	Cupin_8 (2); Cupin_4 (2)		
ORTHO_02019	1	1	Cyt-b5 (2)		
ORTHO_02020	1	1	ECH_2 (2); ECH_1 (2)		
ORTHO_02021	1	1	AAA_23 (2); SMC_N (2); AAA_15 (1)		
ORTHO_02022	1	1	NPR2 (2)		
ORTHO_02023	1	1			
ORTHO_02024	1	1	PEMT (2)		
ORTHO_02025	1	1	DnaJ (2)		
ORTHO_02026	1	1	PH (2)		
ORTHO_02027	1	1	Helicase_C_2 (2); DEAD_2 (2)		
ORTHO_02028	1	1	CBM_1 (2); Glyco_hydro_11 (2)	CBM1.hmm (2); GH11.hmm (2)	
ORTHO_02029	1	1	SRF-TF (2)		
ORTHO_02030	1	1	A_deaminase (1)		
ORTHO_02031	1	1	F-box (2)		
ORTHO_02032	1	1	Transglut_core (2)		
ORTHO_02033	1	1	Aa_trans (2)		
ORTHO_02034	1	1	Zn_clus (2)		
ORTHO_02035	1	1	S1-P1_nuclease (2)		
ORTHO_02036	1	1	GHMP_kinases_N (2); GHMP_kinases_C (2)		
ORTHO_02037	1	1	TRAP_alpha (1)		
ORTHO_02038	1	1	ABC1 (2)		
ORTHO_02039	1	1	PCI (2)		
ORTHO_02040	1	1	WD40 (4)		
ORTHO_02041	1	1	GET2 (2)		
ORTHO_02042	1	1			
ORTHO_02043	1	1	PDZ_1 (4); Trypsin_2 (2); PDZ_2 (1)		MER001372 (2); MER003297 (2)
ORTHO_02044	1	1	Med16 (2)		
ORTHO_02045	1	1	Glyco_hydro_2 (2); Glyco_hydro_2_C (2); Glyco_hydro_2_N (2)	GH2.hmm (2)	
ORTHO_02046	1	1	HOOK (2)		
ORTHO_02047	1	1	Mito_carr (6)		
ORTHO_02048	1	1	FHA (2); Pkinase_Tyr (2); Pkinase (2)		
ORTHO_02049	1	1	GRAB (2)		
ORTHO_02050	1	1	Zn_clus (2); Fungal_trans (2)		
ORTHO_02051	1	1			
ORTHO_02052	1	1	Asp (2); TAXi_N (2)		MER000933 (2); MER000934 (2); MER000931 (2); MER000937 (2); MER000935 (2); MER005350 (2); MER000939 (2); MER000932 (1); MER000938 (1); MER002653 (1); MER001428 (1); MER000948 (1); MER003669 (1)
ORTHO_02053	1	1			
ORTHO_02054	1	1	tRNA-synt_1c (2); tRNA-synt_1c_C (2)		
ORTHO_02055	1	1	Pkinase (2); Pkinase_Tyr (2); DUF3543 (2)		
ORTHO_02056	1	1	Thioredoxin (2); Thioredoxin_2 (2)		
ORTHO_02057	1	1	KH_6 (2)		
ORTHO_02058	1	1	Sec1 (2); RibD_C (1)		
ORTHO_02059	1	1	STE3 (2)		
ORTHO_02060	1	1	AMP-binding (2); Epimerase (2); PP-binding (2); NAD_binding_4 (2); 3Beta_HSD (2)		
ORTHO_02061	1	1	DNA_RNApol_7kD (2)		
ORTHO_02062	1	1			
ORTHO_02063	1	1	GRDP-like (2)		
ORTHO_02064	1	1	Ferritin_2 (2)		
ORTHO_02065	1	1	Zn_clus (2); Fungal_trans (2)		
ORTHO_02066	1	1	Peptidase_M76 (2)		MER060642 (2); MER125732 (2); MER125238 (2); MER127117 (2); MER126173 (1)
ORTHO_02067	1	1	Med26 (2)		
ORTHO_02068	1	1			
ORTHO_02069	1	1	HSP90 (2); HATPase_c_3 (2); HATPase_c (2)		
ORTHO_02070	1	1	Peptidase_S10 (2)		MER000413 (2); MER005999 (2); MER002010 (2); MER000425 (2); MER082502 (2); MER015679 (2); MER006006 (2); MER001760 (2); MER005764 (1); MER003541 (1); MER005684 (1); MER011739 (1)
ORTHO_02071	1	1			
ORTHO_02072	1	1	zf-C3HC4_3 (2); zf-RING_2 (2); zf-RING_11 (2); zf-C3HC4 (2); zf-C3HC4_2 (2); zf-rbx1 (1)		
ORTHO_02073	1	1	Glyco_hydro_61 (2); CBM_1 (2)	AA9.hmm (2); CBM1.hmm (2)	
ORTHO_02074	1	1	Glucan_synthase (2); FKS1_dom1 (2)	GT48.hmm (2)	
ORTHO_02075	1	1	Man-6-P_recep (2); CIMR (2); ATG27 (2)		
ORTHO_02076	1	1			
ORTHO_02077	1	1			
ORTHO_02078	1	1	Methyltransf_34 (2)		
ORTHO_02079	1	1	MmgE_PrpD (2)		
